FAMÍLIA;NOME CIENTÍFICO;NOME POPULAR
Bignoniaceae ;Tabebuia insignis ;Ipê-branco-do-brejo
Bignoniaceae ;Tabebuia roseoalba ;Ipê-branco
Bignoniaceae ;Zeyheria tuberculosa ;Ipê-felpudo
Bignoniaceae  ;Handroanthus  avellanedae ;Ipê-rosa
Boraginaceae ;Cordia americana ;Guaiuvira
Boraginaceae ;Cordia ecalyculata ;Cafe-de-bugre
Boraginaceae ;Cordia myxa ;Baba de boi
Boraginaceae ;Cordia sellowiana ;Cha-de-bugre
Boraginaceae ;Cordia superba ;Babosa-branca
Boraginaceae ;Cordia trichotoma ;Louro-pardo
Burseraceae ;Protium heptaphyllum ;Almecega
Cannabaceae ;Trema micrantha ;Crindiúva
Caricaceae ;Jacaratia spinosa ;Jacaratiá
Celastraceae ;Maytenus ilicifolia ;Espinheira-santa
Chrysobalanaceae ;Licania tomentosa ;Oiti
Clethraceae ;Clethra scabra ;Guaperô
Clusiaceae ;Calophyllum brasiliense ;Guanandi
Clusiaceae ;Garcinia gardneriana ;Bacupari
Combretaceae ;Terminalia argentea ;Capitão-do-campo
Combretaceae ;Terminalia brasiliensis ;Cerne-amarelo
Cunoniaceae ;Lamanonia ternata ;Guaperê
Dilleniaceae ;Curatella americana ;Lixa
Ebenaceae ;Diospyros inconstans ;Marmelinho
Erythroxylaceae ;Erythroxylum argentinum ;Mercurio-branco
Euphorbiaceae ;Alchornea glandulosa ;Tapiá
Euphorbiaceae ;Alchornea sidifolia ;Tapiá-guaçu
Euphorbiaceae ;Alchornea triplinervia ;Tapiá
Euphorbiaceae ;Croton floribundus ;Capixingui
Euphorbiaceae ;Croton urucurana ;Sangra-d'água
Euphorbiaceae ;Mabea fistulifera ;Canudeiro
Euphorbiaceae ;Sapium glandulosum ;Pau-de-leite
Euphorbiaceae ;Sebastiania klotzchiana ;Branquilho
Euphorbiaceae  ;Joannesia princeps ;Boleira
Fabaceae   Caesalpinioideae;Poincianella   pluviosa var. peltophoroides;Sibipiruna
Fabaceae   Cercideae;Bauhinia forficata ;Pata-de-vaca-de-espinho
Fabaceae   Cercideae;Bauhinia geminata ;Pata-de-vaca-geminata
